"id","title","year","cites","venue","inst","atHome","inCv","doiInCv","authors","overlap","verdict"
"W3107757056","hiPSC-Derived Cardiac Tissue for Disease Modeling and Drug Discovery","2020","54","International Journal of Molecular Sciences","The University of Osaka","False","False","False","Junjun Li; Ying Hua; Shigeru Miyagawa; Jingbo Zhang; Li Liu; Yoshiki Sawa","0","drop"
"W2984874789","Chloroquine and 3-Methyladenine Attenuates Periodontal Inflammation and Bone Loss in Experimental Periodontitis","2019","52","Inflammation","Nanjing University","False","False","False","Shasha He; Qian Zhou; Binyan Luo; Bin Chen; Fuhua Yan","0","drop"
"W1973757628","Mass spectrometric elucidation of the neuropeptidome of a crustacean neuroendocrine organ","2012","51","Peptides","University of Wisconsin–Madison","True","True","False","Limei Hui; Feng Xiang; Yuzhuo Zhang","3","keep"
"W4394812400","A Tutorial Review of Labeling Methods in Mass Spectrometry-Based Quantitative Proteomics","2024","49","ACS Measurement Science Au","University of Wisconsin–Madison","True","False","False","Zicong Wang; Peng-Kai Liu","2","keep"
"W4399780282","Research progress on pharmacological effects and bioavailability of berberine","2024","47","Naunyn-Schmiedeberg s Archives of Pharmacology","Shandong University of Traditional Chinese Medicine","False","False","False","Yulong Cui; Quanying Zhou; Min Jin; Siqi Jiang; Peizhao Shang; Xiaofan Dong","0","drop"
"W3131210231","Proteome-wide and matrisome-specific alterations during human pancreas development and maturation","2021","46","Nature Communications","University of Wisconsin–Madison","True","True","False","Zihui Li; Daniel M. Tremmel; Fengfei Ma; Qinying Yu; M Ma; Daniel G. Delafield; Yatao Shi; Bin Wang; Samantha A. Mitchell; Austin K. Feeney; Vansh Jain; Sara Dutton Sackett; Jon S. Odorico","13","keep"
"W4298140870","Hypothyroidism has a protective causal association with hepatocellular carcinoma: A two-sample Mendelian randomization study","2022","40","Frontiers in Endocrinology","Soochow University; First Affiliated Hospital of Soochow University","False","False","False","Likui Lu; Bangbei Wan; Miao Sun","0","drop"
"W4409681913","TEMI: tissue-expansion mass-spectrometry imaging","2025","40","Nature Methods","University of Wisconsin–Madison","True","False","False","Hua Zhang; Lang Ding; Amy Hu; Xudong Shi; Penghsuan Huang; Haiyan Lu; Paul W. Tillberg; Meng C. Wang","4","keep"
"W3109347020","A 4-gene signature predicts prognosis of uterine serous carcinoma","2021","33","BMC Cancer","Third Affiliated Hospital of Guangzhou Medical University; Guangzhou Medical University","False","False","False","Hui Chen; Ping Qin; Hanzhen Xiong; Ruichao Chen; Minfen Zhang; Qingping Jiang","0","drop"
"W4400950396","Spatially and temporally probing distinctive glycerophospholipid alterations in Alzheimer’s disease mouse brain via high-resolution ion mobility-enabled sn-position resolved lipidomics","2024","26","Nature Communications","University of Wisconsin System; University of Wisconsin–Madison; Wisconsin Institutes for Discovery","True","True","False","Shuling Xu; Zhijun Zhu; Daniel G. Delafield; Michael J. Rigby; Gaoyuan Lu; Megan M. Braun; Luigi Puglielli","7","keep"
"W4402693124","Mass Spectrometry Structural Proteomics Enabled by Limited Proteolysis and Cross‐Linking","2024","21","Mass Spectrometry Reviews","University of Wisconsin–Madison","True","False","False","Haiyan Lu; Zexin Zhu; Lauren Fields; Hua Zhang","4","keep"
"W4379600142","SCG10 is required for peripheral axon maintenance and regeneration in mice","2023","20","Journal of Cell Science","Peking University","False","False","False","Yuanjun Li; Yonglu Tian; Xiayuhe Pei; Pengli Zheng; Linqing Miao; Chunxiong Luo; Peixun Zhang; Baoguo Jiang; Junlin Teng; Ning Huang; Jianguo Chen","0","drop"
